order_id,order_date,region,category,product,sales,quantity,profit,year,month,month_name,quarter,day_name,profit_margin,avg_selling_price,sales_summary
1001,2025-01-05,West,Technology,Laptop,1200,2,300,2025,1,January,1,Sunday,0.25,600.0,"Order 1001 was placed on 2025-01-05 in the West region for category Technology. Product: Laptop. Sales: 1200, Quantity: 2, Profit: 300."
1002,2025-01-06,East,Furniture,Chair,450,3,60,2025,1,January,1,Monday,0.1333,150.0,"Order 1002 was placed on 2025-01-06 in the East region for category Furniture. Product: Chair. Sales: 450, Quantity: 3, Profit: 60."
1003,2025-01-07,South,Office Supplies,Notebook,120,10,30,2025,1,January,1,Tuesday,0.25,12.0,"Order 1003 was placed on 2025-01-07 in the South region for category Office Supplies. Product: Notebook. Sales: 120, Quantity: 10, Profit: 30."
1004,2025-02-02,West,Technology,Phone,900,4,220,2025,2,February,1,Sunday,0.2444,225.0,"Order 1004 was placed on 2025-02-02 in the West region for category Technology. Product: Phone. Sales: 900, Quantity: 4, Profit: 220."
1005,2025-02-10,Central,Furniture,Table,700,1,90,2025,2,February,1,Monday,0.1286,700.0,"Order 1005 was placed on 2025-02-10 in the Central region for category Furniture. Product: Table. Sales: 700, Quantity: 1, Profit: 90."
1006,2025-02-14,East,Office Supplies,Printer Paper,200,8,40,2025,2,February,1,Friday,0.2,25.0,"Order 1006 was placed on 2025-02-14 in the East region for category Office Supplies. Product: Printer Paper. Sales: 200, Quantity: 8, Profit: 40."
1007,2025-03-03,West,Technology,Monitor,650,2,140,2025,3,March,1,Monday,0.2154,325.0,"Order 1007 was placed on 2025-03-03 in the West region for category Technology. Product: Monitor. Sales: 650, Quantity: 2, Profit: 140."
1008,2025-03-11,South,Furniture,Sofa,1500,1,250,2025,3,March,1,Tuesday,0.1667,1500.0,"Order 1008 was placed on 2025-03-11 in the South region for category Furniture. Product: Sofa. Sales: 1500, Quantity: 1, Profit: 250."
1009,2025-03-18,Central,Office Supplies,Pen Set,80,15,20,2025,3,March,1,Tuesday,0.25,5.33,"Order 1009 was placed on 2025-03-18 in the Central region for category Office Supplies. Product: Pen Set. Sales: 80, Quantity: 15, Profit: 20."
1010,2025-04-01,East,Technology,Tablet,500,3,110,2025,4,April,2,Tuesday,0.22,166.67,"Order 1010 was placed on 2025-04-01 in the East region for category Technology. Product: Tablet. Sales: 500, Quantity: 3, Profit: 110."
1011,2025-04-09,West,Furniture,Desk,950,2,180,2025,4,April,2,Wednesday,0.1895,475.0,"Order 1011 was placed on 2025-04-09 in the West region for category Furniture. Product: Desk. Sales: 950, Quantity: 2, Profit: 180."
1012,2025-04-16,South,Office Supplies,Stapler,60,6,15,2025,4,April,2,Wednesday,0.25,10.0,"Order 1012 was placed on 2025-04-16 in the South region for category Office Supplies. Product: Stapler. Sales: 60, Quantity: 6, Profit: 15."
